min_tex,max_cost,min_conf,valid_count,total_pixels,coverage_pct,disparity_min,disparity_max,disparity_mean,cost_mean,conf_mean
4,24,0,31947,115200,27.73,0,64,16.17,2.17,0.58
4,24,1,13957,115200,12.12,0,64,21.32,2.16,1.33
4,24,2,3433,115200,2.98,0,64,20.87,2.19,2.35
4,30,0,31947,115200,27.73,0,64,16.17,2.17,0.58
4,30,1,13957,115200,12.12,0,64,21.32,2.16,1.33
4,30,2,3433,115200,2.98,0,64,20.87,2.19,2.35
4,48,0,31947,115200,27.73,0,64,16.17,2.17,0.58
4,48,1,13957,115200,12.12,0,64,21.32,2.16,1.33
4,48,2,3433,115200,2.98,0,64,20.87,2.19,2.35
8,24,0,15314,115200,13.29,0,64,14.27,2.11,0.58
8,24,1,6594,115200,5.72,0,64,19.30,2.13,1.34
8,24,2,1590,115200,1.38,0,64,19.82,2.29,2.42
8,30,0,15314,115200,13.29,0,64,14.27,2.11,0.58
8,30,1,6594,115200,5.72,0,64,19.30,2.13,1.34
8,30,2,1590,115200,1.38,0,64,19.82,2.29,2.42
8,48,0,15314,115200,13.29,0,64,14.27,2.11,0.58
8,48,1,6594,115200,5.72,0,64,19.30,2.13,1.34
8,48,2,1590,115200,1.38,0,64,19.82,2.29,2.42
